longitude,latitude,timestamp
-81.5801,31.13662,2023-12-11T21:58:42Z
-81.58042,31.13678,2023-12-11T21:58:44Z
-81.58125,31.13708,2023-12-11T21:58:49Z
-81.58146,31.13716,2023-12-11T21:58:50Z
-81.58146,31.13716,2023-12-11T21:58:50Z
-81.58108,31.13784,2023-12-11T21:58:55Z
-81.58104,31.13791,2023-12-11T21:58:56Z
-81.58067,31.13856,2023-12-11T21:59:00Z
-81.58054,31.13884,2023-12-11T21:59:02Z
-81.58051,31.1389,2023-12-11T21:59:03Z
-81.58043,31.13905,2023-12-11T21:59:04Z
-81.58034,31.13921,2023-12-11T21:59:05Z
-81.58023,31.13927,2023-12-11T21:59:06Z
-81.58015,31.13947,2023-12-11T21:59:07Z
-81.58015,31.13947,2023-12-11T21:59:07Z
-81.58003,31.13953,2023-12-11T21:59:08Z
-81.57985,31.13957,2023-12-11T21:59:09Z
-81.5788,31.13913,2023-12-11T21:59:16Z
-81.57804,31.13882,2023-12-11T21:59:21Z
-81.57804,31.13882,2023-12-11T21:59:21Z
-81.57771,31.13862,2023-12-11T21:59:23Z
-81.5775,31.13846,2023-12-11T21:59:25Z
-81.57738,31.13835,2023-12-11T21:59:26Z
-81.57729,31.13824,2023-12-11T21:59:26Z
-81.57721,31.1381,2023-12-11T21:59:28Z
-81.57715,31.13798,2023-12-11T21:59:28Z
-81.5771,31.13785,2023-12-11T21:59:29Z
-81.57707,31.13771,2023-12-11T21:59:30Z
-81.57707,31.13759,2023-12-11T21:59:31Z
-81.57706,31.1373,2023-12-11T21:59:33Z
-81.57707,31.13699,2023-12-11T21:59:35Z
-81.57708,31.13656,2023-12-11T21:59:38Z
-81.57709,31.13599,2023-12-11T21:59:42Z
-81.57709,31.13558,2023-12-11T21:59:44Z
-81.5771,31.13543,2023-12-11T21:59:45Z
-81.57713,31.13528,2023-12-11T21:59:46Z
-81.57717,31.13511,2023-12-11T21:59:48Z
-81.57722,31.13488,2023-12-11T21:59:49Z
-81.5773,31.13469,2023-12-11T21:59:51Z
-81.57738,31.13451,2023-12-11T21:59:52Z
-81.57748,31.13434,2023-12-11T21:59:53Z
-81.57754,31.13424,2023-12-11T21:59:54Z
-81.57786,31.13373,2023-12-11T21:59:58Z
-81.57839,31.13288,2023-12-11T22:00:04Z
-81.57908,31.13176,2023-12-11T22:00:13Z
-81.57933,31.13137,2023-12-11T22:00:16Z
-81.58016,31.12987,2023-12-11T22:00:27Z
-81.58698,31.11922,2023-12-11T22:01:48Z
-81.58741,31.11856,2023-12-11T22:01:53Z
-81.58772,31.11808,2023-12-11T22:01:56Z
-81.58781,31.11794,2023-12-11T22:01:57Z
-81.58832,31.11712,2023-12-11T22:02:04Z
-81.58872,31.1165,2023-12-11T22:02:08Z
-81.59391,31.1084,2023-12-11T22:03:10Z
-81.59467,31.10717,2023-12-11T22:03:19Z
-81.59467,31.10717,2023-12-11T22:03:19Z
-81.5976,31.10264,2023-12-11T22:03:54Z
-81.60261,31.09482,2023-12-11T22:04:53Z
-81.6027,31.09467,2023-12-11T22:04:54Z
-81.60407,31.09268,2023-12-11T22:05:10Z
-81.60431,31.09237,2023-12-11T22:05:12Z
-81.60549,31.0908,2023-12-11T22:05:25Z
-81.60625,31.08992,2023-12-11T22:05:32Z
-81.60625,31.08992,2023-12-11T22:05:32Z
-81.60625,31.08992,2023-12-11T22:05:32Z
-81.60733,31.08866,2023-12-11T22:05:43Z
-81.60995,31.08594,2023-12-11T22:06:06Z
-81.61228,31.0837,2023-12-11T22:06:26Z
-81.61577,31.08017,2023-12-11T22:06:57Z
-81.61755,31.0784,2023-12-11T22:07:13Z
-81.62325,31.07284,2023-12-11T22:08:02Z
-81.62519,31.07085,2023-12-11T22:08:19Z
-81.63492,31.06123,2023-12-11T22:09:44Z
-81.63492,31.06123,2023-12-11T22:09:44Z
-81.63613,31.06004,2023-12-11T22:09:55Z
-81.64354,31.05268,2023-12-11T22:10:59Z
-81.64788,31.04834,2023-12-11T22:11:38Z
-81.64891,31.04716,2023-12-11T22:11:47Z
-81.64937,31.04657,2023-12-11T22:11:52Z
-81.6498,31.04596,2023-12-11T22:11:57Z
-81.65052,31.04487,2023-12-11T22:12:05Z
-81.65116,31.04372,2023-12-11T22:12:14Z
-81.65169,31.04263,2023-12-11T22:12:22Z
-81.65197,31.04195,2023-12-11T22:12:26Z
-81.65223,31.04123,2023-12-11T22:12:32Z
-81.65245,31.0406,2023-12-11T22:12:36Z
-81.65267,31.03989,2023-12-11T22:12:41Z
-81.65301,31.03859,2023-12-11T22:12:50Z
-81.6537,31.03613,2023-12-11T22:13:07Z
-81.65452,31.03313,2023-12-11T22:13:27Z
-81.65583,31.02836,2023-12-11T22:14:00Z
-81.65661,31.02555,2023-12-11T22:14:19Z
-81.65867,31.01804,2023-12-11T22:15:11Z
-81.65915,31.0163,2023-12-11T22:15:22Z
-81.65922,31.01603,2023-12-11T22:15:24Z
-81.66559,30.99286,2023-12-11T22:18:03Z
